ARID,PHASE,STA,ATIME,TIMEDEF,ORID,LAT,LON,DEPTH,OTIME
59079760,P,ASAR,1273882587.45,d,6327439,-16.558574,177.15594,0.0,1273882122.28814
59079763,P,MJAR,1273882760.237499,d,6327439,-16.558574,177.15594,0.0,1273882122.28814
59079797,P,STKA,1273882542.974999,d,6327439,-16.558574,177.15594,0.0,1273882122.28814
59079841,P,NVAR,1273882861.82503,d,6327439,-16.558574,177.15594,0.0,1273882122.28814
59079858,P,WRA,1273882583.775409,d,6327439,-16.558574,177.15594,0.0,1273882122.28814
59079886,P,SONM,1273882903.22,d,6327439,-16.558574,177.15594,0.0,1273882122.28814
59079913,P,TXAR,1273882899.675,d,6327439,-16.558574,177.15594,0.0,1273882122.28814
59079919,P,CMAR,1273882877.95,d,6327439,-16.558574,177.15594,0.0,1273882122.28814
59079929,P,MAW,1273882871.962699,d,6327439,-16.558574,177.15594,0.0,1273882122.28814
59079934,P,ILAR,1273882881.349999,d,6327439,-16.558574,177.15594,0.0,1273882122.28814
59079945,P,YKA,1273882926.095,d,6327439,-16.558574,177.15594,0.0,1273882122.28814
59079957,P,PDAR,1273882900.6,d,6327439,-16.558574,177.15594,0.0,1273882122.28814
59081376,P,CTA,1273882488.924999,d,6327439,-16.558574,177.15594,0.0,1273882122.28814
59081445,P,URZ,1273882413.826999,d,6327439,-16.558574,177.15594,0.0,1273882122.28814
59131709,P,USRK,1273882815.275,d,6327439,-16.558574,177.15594,0.0,1273882122.28814
59131710,P,KSRS,1273882802.7,d,6327439,-16.558574,177.15594,0.0,1273882122.28814
59131711,P,RPZ,1273882472.032,d,6327439,-16.558574,177.15594,0.0,1273882122.28814
59131712,P,PETK,1273882803.175,d,6327439,-16.558574,177.15594,0.0,1273882122.28814
59131713,Pn,DZM,1273882289.08,d,6327439,-16.558574,177.15594,0.0,1273882122.28814
59087697,Pn,MJAR,1273914217.5875,d,6328260,32.045914,141.05526,0.0,1273914140.973659
59087843,P,MKAR,1273914651.275,d,6328260,32.045914,141.05526,0.0,1273914140.973659
59087873,P,WRA,1273914692.525,d,6328260,32.045914,141.05526,0.0,1273914140.973659
59090031,Pn,JCJ,1273914219.049999,d,6328260,32.045914,141.05526,0.0,1273914140.973659
59131813,P,SONM,1273914516.834,d,6328260,32.045914,141.05526,0.0,1273914140.973659
59131814,P,YKA,1273914803.41449,d,6328260,32.045914,141.05526,0.0,1273914140.973659
59131815,P,ASAR,1273914719.74493,d,6328260,32.045914,141.05526,0.0,1273914140.973659
59087775,P,BRTR,1273914998.45,d,6328259,31.780822,103.97332,0.0,1273914416.445329
59087786,P,STKA,1273915105.5,d,6328259,31.780822,103.97332,0.0,1273914416.445329
