,Unnamed: 0,ARID,ORID,STA,PHASE,BELIEF,DELTA,SEAZ,ESAZ,TIMERES,TIMEDEF,AZRES,AZDEF,SLORES,SLODEF,EMARES,WGT,VMODEL,COMMID,LDDATE,ATIME,Unnamed: 0_idcx,STA_idcx,TIME,JDATE,STASSID,CHANID,CHAN,IPHASE,STYPE,DELTIM,AZIMUTH,DELAZ,SLOW,DELSLO,EMA,RECT,AMP,PER,LOGAT,CLIP,FM,SNR,QUAL,AUTH,COMMID_idcx,LDDATE_idcx,ORID_ugeb,LAT,LON,DEPTH,ORIGIN,EVID,MB,MS,ML,PHASE_ugeb,DELTA_ugeb,STA_ugeb,TIME_ugeb,IPHASE_ugeb,AZIMUTH_ugeb,DELTIM_ugeb,DELAZ_ugeb,JDATE_ugeb,STA_LAT,STA_LON,STATYPE,ONDATE,OFFDATE,Unnamed: 0_sel3org,LAT_sel3org,LON_sel3org,DEPTH_sel3org,TIME_sel3org,EVID_sel3org,JDATE_sel3org,NASS,NDEF,NDP,GRN,SRN,ETYPE,DEPDP,DTYPE,MB_sel3org,MBID,MS_sel3org,MSID,ML_sel3org,MLID,ALGORITHM,AUTH_sel3org,COMMID_sel3org,LDDATE_sel3org
0,977132,59082193,6327956,SCHQ,P,-1,71.511,177.97,358.77,0.182,d,-19.4,d,-1.75,d,-999,0.588,IASPEI,-1,5/15/2010 9:40,5/15/2010 9:40,1130935,SCHQ,2010-05-15 03:14:21.900000,2010135,-1,-1,Z1530,P,-,0.625,158.52,28.41,4.28,2.1,17.92,0.929,1.01,0.44,-999.0,-,-,6.89,-,,-1,2010-05-17 08:49:30.000000,6333023,-17.137957,-64.738272,0.0,2010-05-15 03:02:58.034189824,6327689,4.07857,3.1882821,4.0269772,P,71.703179,SCHQ,2010-05-15 03:14:21.900000000,P,158.52219,0.62494273,28.40651,2010135,54.8324,-66.83318,ss,2003127.0,2286324.0,98150,-16.9469,-64.822,41.0416,2010-05-15 03:03:06.491440,6327689,2010135,24,17,0,120,8,-,-999.0,f,3.92,15297316,-999.0,-1,3.98,15297317,LocSAT,,-1,2010-05-15 09:40:28.000000
1,977133,59082203,6327956,ULM,P,-1,72.286,148.78,339.66,-0.061,d,-51.8,d,-3.63,d,-999,0.502,IASPEI,-1,5/15/2010 9:40,5/15/2010 9:40,1130936,ULM,2010-05-15 03:14:25.950000,2010135,-1,-1,Z1530,P,-,0.899,97.0,50.14,2.34,1.98,8.3,0.937,1.25,0.44,-999.0,-,-,4.13,-,,-1,2010-05-17 08:49:30.000000,6333023,-17.137957,-64.738272,0.0,2010-05-15 03:02:58.034189824,6327689,4.07857,3.1882821,4.0269772,P,72.491823,ULM,2010-05-15 03:14:25.950000128,P,97.003068,0.89888039,50.135978,2010135,50.25026,-95.87496,ss,2003127.0,2286324.0,98150,-16.9469,-64.822,41.0416,2010-05-15 03:03:06.491440,6327689,2010135,24,17,0,120,8,-,-999.0,f,3.92,15297316,-999.0,-1,3.98,15297317,LocSAT,,-1,2010-05-15 09:40:28.000000
2,977137,59082219,6327956,TORD,P,-1,72.179,247.23,69.8,-3.972,d,4.1,d,-1.23,d,-999,0.706,IASPEI,-1,5/15/2010 9:40,5/15/2010 9:40,1130937,TORD,2010-05-15 03:14:24.225000,2010135,4420331,-1,TO_045,P,-,0.327,251.36,10.8,4.75,0.89,-1.0,-1.0,0.15,0.33,-999.0,-,-,12.03,2,,-1,2010-05-17 08:49:30.000000,6333023,-17.137957,-64.738272,0.0,2010-05-15 03:02:58.034189824,6327689,4.07857,3.1882821,4.0269772,P,72.169391,TORD,2010-05-15 03:14:24.224999936,P,251.35847,0.32656628,10.799607,2010135,13.14771,1.69471,ar,2005270.0,2286324.0,98150,-16.9469,-64.822,41.0416,2010-05-15 03:03:06.491440,6327689,2010135,24,17,0,120,8,-,-999.0,f,3.92,15297316,-999.0,-1,3.98,15297317,LocSAT,,-1,2010-05-15 09:40:28.000000
3,977141,59082265,6327956,PDAR,P,-1,72.261,134.99,327.03,-0.87,d,-27.0,d,-1.37,d,-999,0.652,IASPEI,-1,5/15/2010 9:40,5/15/2010 9:40,1130940,PDAR,2010-05-15 03:14:27.000000,2010135,-1,-1,PD_028,P,-,0.456,113.16,7.23,7.39,0.93,20.57,0.794,0.73,0.5,-999.0,-,-,9.45,2,,-1,2010-05-17 08:49:29.000000,6333023,-17.137957,-64.738272,0.0,2010-05-15 03:02:58.034189824,6327689,4.07857,3.1882821,4.0269772,P,72.46434,PDAR,2010-05-15 03:14:27.000000000,P,113.16403,0.45582134,7.2261557,2010135,42.76738,-109.5579,ar,1995196.0,2286324.0,98150,-16.9469,-64.822,41.0416,2010-05-15 03:03:06.491440,6327689,2010135,24,17,0,120,8,-,-999.0,f,3.92,15297316,-999.0,-1,3.98,15297317,LocSAT,,-1,2010-05-15 09:40:28.000000
4,977143,59082292,6327956,YKA,P,-1,88.261,133.01,339.22,-1.054,d,-5.6,d,-0.15,d,-999,0.716,IASPEI,-1,5/15/2010 9:40,5/15/2010 9:40,1130941,YKA,2010-05-15 03:15:51.795000,2010135,4420334,-1,YK_69,P,-,0.12,123.29,1.45,4.55,0.12,-1.0,-1.0,0.73,0.44,-999.0,-,-,26.88,3,,-1,2010-05-17 08:49:29.000000,6333023,-17.137957,-64.738272,0.0,2010-05-15 03:02:58.034189824,6327689,4.07857,3.1882821,4.0269772,P,88.46695,YKA,2010-05-15 03:15:51.795000064,P,123.28787,0.12,1.4541554,2010135,62.4931,-114.6062,ar,1989025.0,2014013.0,98150,-16.9469,-64.822,41.0416,2010-05-15 03:03:06.491440,6327689,2010135,24,17,0,120,8,-,-999.0,f,3.92,15297316,-999.0,-1,3.98,15297317,LocSAT,,-1,2010-05-15 09:40:28.000000
5,977366,59083784,6327956,LVC,Pn,-1,6.825,35.05,213.67,-1.045,d,5.3,d,-4.45,d,-999,0.363,IASPEI,-1,5/15/2010 9:40,5/15/2010 9:40,1131083,LVC,2010-05-15 03:04:42.944000,2010135,4420454,-1,Z1530,P,-,0.12,40.35,5.55,9.28,0.9,32.29,0.987,21.59,0.44,-999.0,-,-,19.2,-,,-1,2010-05-17 08:49:29.000000,6333023,-17.137957,-64.738272,0.0,2010-05-15 03:02:58.034189824,6327689,4.07857,3.1882821,4.0269772,Pn,6.7137165,LVC,2010-05-15 03:04:42.944000000,P,40.348252,0.12,5.5463762,2010135,-22.6128,-68.9113,ss,1999354.0,2286324.0,98150,-16.9469,-64.822,41.0416,2010-05-15 03:03:06.491440,6327689,2010135,24,17,0,120,8,-,-999.0,f,3.92,15297316,-999.0,-1,3.98,15297317,LocSAT,,-1,2010-05-15 09:40:28.000000
6,977159,59082432,6328248,MKAR,P,-1,51.096,93.76,310.89,0.118,d,-1.8,d,-2.08,d,-999,0.792,IASPEI,-1,5/15/2010 10:00,5/15/2010 10:00,1130958,MKAR,2010-05-15 03:39:20.375000,2010135,4420343,-1,MK_020,P,-,0.207,91.98,19.64,5.38,1.84,29.19,0.975,0.96,0.5,-999.0,-,-,15.06,3,,-1,2010-05-17 12:41:17.000000,6333529,24.976502,141.04736,158.30498,2010-05-15 03:30:33.282759936,6328244,3.7252879,-999.0,-999.0,P,51.058238,MKAR,2010-05-15 03:39:20.375000064,P,91.977001,0.20659368,19.636269,2010135,46.79368,82.29057,ar,2000092.0,2286324.0,98179,25.0621,141.184,152.207,2010-05-15 03:30:33.507090,6328244,2010135,27,19,0,213,18,-,-999.0,f,3.81,15297816,-999.0,-1,-999.0,-1,LocSAT,,-1,2010-05-15 10:00:25.000000
7,977161,59082440,6328248,STKA,P,-1,56.618,359.55,179.58,-1.461,d,2.5,d,-0.03,d,-999,0.884,IASPEI,-1,5/15/2010 10:00,5/15/2010 10:00,1130959,STKA,2010-05-15 03:39:59.025000,2010135,4420344,-1,Z1530,P,-,0.12,2.0,5.72,7.04,0.7,24.12,0.992,3.61,0.44,-999.0,-,-,23.55,-,,-1,2010-05-17 12:41:17.000000,6333529,24.976502,141.04736,158.30498,2010-05-15 03:30:33.282759936,6328244,3.7252879,-999.0,-999.0,P,56.53391,STKA,2010-05-15 03:39:59.025000192,P,2.0047381,0.12,5.7240787,2010135,-31.8743,141.5964,ss,2002337.0,2015034.0,98179,25.0621,141.184,152.207,2010-05-15 03:30:33.507090,6328244,2010135,27,19,0,213,18,-,-999.0,f,3.81,15297816,-999.0,-1,-999.0,-1,LocSAT,,-1,2010-05-15 10:00:25.000000
8,977163,59082442,6328248,ZALV,P,-1,50.451,101.69,320.34,-1.141,d,13.7,d,0.78,d,-999,0.565,IASPEI,-1,5/15/2010 10:00,5/15/2010 10:00,1130960,ZALV,2010-05-15 03:39:14.225000,2010135,-1,-1,ZA_004,P,-,0.725,115.36,12.73,8.29,1.84,-1.0,-1.0,1.47,0.67,-999.0,-,-,5.71,3,,-1,2010-05-17 12:41:17.000000,6333529,24.976502,141.04736,158.30498,2010-05-15 03:30:33.282759936,6328244,3.7252879,-999.0,-999.0,P,50.437867,ZALV,2010-05-15 03:39:14.224999936,P,115.36259,0.72514972,12.731337,2010135,53.94805,84.81878,ar,2006286.0,2286324.0,98179,25.0621,141.184,152.207,2010-05-15 03:30:33.507090,6328244,2010135,27,19,0,213,18,-,-999.0,f,3.81,15297816,-999.0,-1,-999.0,-1,LocSAT,,-1,2010-05-15 10:00:25.000000
9,977166,59082461,6328248,USRK,P,-1,20.511,155.57,340.85,1.23,d,9.3,d,-0.06,d,-999,0.498,IASPEI,-1,5/15/2010 10:00,5/15/2010 10:00,1130963,USRK,2010-05-15 03:34:59.779960,2010135,-1,-1,US_052,P,-,0.661,164.85,29.6,10.6,5.42,-1.0,-1.0,2.4,0.67,-999.0,-,-,6.45,3,,-1,2010-05-17 12:41:17.000000,6333529,24.976502,141.04736,158.30498,2010-05-15 03:30:33.282759936,6328244,3.7252879,-999.0,-999.0,P,20.550761,USRK,2010-05-15 03:34:59.779959808,P,164.85356,0.66063107,29.600468,2010135,44.1998,131.9888,ar,2008287.0,2286324.0,98179,25.0621,141.184,152.207,2010-05-15 03:30:33.507090,6328244,2010135,27,19,0,213,18,-,-999.0,f,3.81,15297816,-999.0,-1,-999.0,-1,LocSAT,,-1,2010-05-15 10:00:25.000000
