,ARID,ORID,PHASE,STA,ATIME,TIMEDEF,LAT,LON,DEPTH,OTIME
0,59082193,6327956,P,SCHQ,2010135,d,-17.137957,-64.738272,0.0,2010135
1,59082203,6327956,P,ULM,2010135,d,-17.137957,-64.738272,0.0,2010135
2,59082219,6327956,P,TORD,2010135,d,-17.137957,-64.738272,0.0,2010135
3,59082265,6327956,P,PDAR,2010135,d,-17.137957,-64.738272,0.0,2010135
4,59082292,6327956,P,YKA,2010135,d,-17.137957,-64.738272,0.0,2010135
5,59083784,6327956,Pn,LVC,2010135,d,-17.137957,-64.738272,0.0,2010135
6,59082432,6328248,P,MKAR,2010135,d,24.976502,141.04736,158.30498,2010135
7,59082440,6328248,P,STKA,2010135,d,24.976502,141.04736,158.30498,2010135
8,59082442,6328248,P,ZALV,2010135,d,24.976502,141.04736,158.30498,2010135
9,59082461,6328248,P,USRK,2010135,d,24.976502,141.04736,158.30498,2010135
10,59082466,6328248,P,MJAR,2010135,d,24.976502,141.04736,158.30498,2010135
11,59082488,6328248,P,CMAR,2010135,d,24.976502,141.04736,158.30498,2010135
12,59082490,6328248,P,ILAR,2010135,d,24.976502,141.04736,158.30498,2010135
13,59082496,6328248,P,KSRS,2010135,d,24.976502,141.04736,158.30498,2010135
14,59082515,6328248,P,WRA,2010135,d,24.976502,141.04736,158.30498,2010135
15,59082566,6328248,P,ARCES,2010135,d,24.976502,141.04736,158.30498,2010135
16,59082569,6328248,P,BRTR,2010135,d,24.976502,141.04736,158.30498,2010135
17,59082607,6328248,P,YKA,2010135,d,24.976502,141.04736,158.30498,2010135
18,59082638,6328248,P,FINES,2010135,d,24.976502,141.04736,158.30498,2010135
19,59082645,6328248,P,NVAR,2010135,d,24.976502,141.04736,158.30498,2010135
20,59082661,6328248,P,PDAR,2010135,d,24.976502,141.04736,158.30498,2010135
21,59082663,6328248,P,NOA,2010135,d,24.976502,141.04736,158.30498,2010135
22,59082684,6327978,P,BDFB,2010135,d,-17.937824,-68.988485,165.09739,2010135
23,59082743,6327978,P,LPAZ,2010135,d,-17.937824,-68.988485,165.09739,2010135
24,59082820,6327978,P,DBIC,2010135,d,-17.937824,-68.988485,165.09739,2010135
25,59082879,6327978,P,TORD,2010135,d,-17.937824,-68.988485,165.09739,2010135
26,59082901,6327978,P,YKA,2010135,d,-17.937824,-68.988485,165.09739,2010135
27,59082907,6327978,P,TXAR,2010135,d,-17.937824,-68.988485,165.09739,2010135
28,59082927,6327978,P,NVAR,2010135,d,-17.937824,-68.988485,165.09739,2010135
29,59082956,6327978,P,PDAR,2010135,d,-17.937824,-68.988485,165.09739,2010135
30,59084358,6327978,P,NNA,2010135,d,-17.937824,-68.988485,165.09739,2010135
31,59084395,6327978,P,SIV,2010135,d,-17.937824,-68.988485,165.09739,2010135
32,59082719,6327761,P,ASAR,2010135,d,-25.369511,-176.60613,118.32396,2010135
33,59082777,6327761,P,WRA,2010135,d,-25.369511,-176.60613,118.32396,2010135
34,59082852,6328291,P,MKAR,2010135,d,8.3566349,126.85397,0.0,2010135
35,59082860,6328291,P,SONM,2010135,d,8.3566349,126.85397,0.0,2010135
36,59082883,6328291,P,USRK,2010135,d,8.3566349,126.85397,0.0,2010135
37,59082912,6328291,P,STKA,2010135,d,8.3566349,126.85397,0.0,2010135
38,59082916,6328291,P,ASAR,2010135,d,8.3566349,126.85397,0.0,2010135
39,59082929,6328291,P,KSRS,2010135,d,8.3566349,126.85397,0.0,2010135
40,59082943,6328291,P,CMAR,2010135,d,8.3566349,126.85397,0.0,2010135
41,59082958,6328291,P,PETK,2010135,d,8.3566349,126.85397,0.0,2010135
42,59083036,6328291,P,YKA,2010135,d,8.3566349,126.85397,0.0,2010135
43,59083063,6328291,P,ILAR,2010135,d,8.3566349,126.85397,0.0,2010135
44,59083085,6328291,P,FINES,2010135,d,8.3566349,126.85397,0.0,2010135
45,59083093,6328249,P,DBIC,2010135,d,-34.894738,-71.525237,53.145601,2010135
46,59083150,6328249,P,TORD,2010135,d,-34.894738,-71.525237,53.145601,2010135
47,59083176,6328249,P,TXAR,2010135,d,-34.894738,-71.525237,53.145601,2010135
48,59083190,6328249,P,PDAR,2010135,d,-34.894738,-71.525237,53.145601,2010135
49,59085140,6328249,P,LBTB,2010135,d,-34.894738,-71.525237,53.145601,2010135
50,59083226,6328382,P,LPAZ,2010135,d,-56.118671,-26.715631,64.859894,2010135
51,59083229,6328382,P,TORD,2010135,d,-56.118671,-26.715631,64.859894,2010135
52,59083274,6328382,P,VNDA,2010135,d,-56.118671,-26.715631,64.859894,2010135
53,59083309,6328101,P,YKA,2010135,d,8.7463627,-76.913732,0.0,2010135
54,59083334,6328076,Pn,BRTR,2010135,d,38.390688,21.901838,0.0,2010135
55,59083337,6328076,P,ARCES,2010135,d,38.390688,21.901838,0.0,2010135
56,59083369,6328076,P,TORD,2010135,d,38.390688,21.901838,0.0,2010135
57,59083458,6328076,Pn,GERES,2010135,d,38.390688,21.901838,0.0,2010135
58,59083465,6328076,P,NOA,2010135,d,38.390688,21.901838,0.0,2010135
59,59083513,6328076,P,MKAR,2010135,d,38.390688,21.901838,0.0,2010135
60,59083546,6328076,P,ZALV,2010135,d,38.390688,21.901838,0.0,2010135
61,59083548,6328076,P,YKA,2010135,d,38.390688,21.901838,0.0,2010135
62,59085511,6328076,P,EKA,2010135,d,38.390688,21.901838,0.0,2010135
63,59083515,6328075,Pn,MKAR,2010135,d,1.7898588,96.425895,0.0,2010135
64,59083622,6328075,P,ARCES,2010135,d,39.340198,74.333136,0.0,2010135
65,59083640,6328075,P,TORD,2010135,d,39.340198,74.333136,0.0,2010135
66,59083819,6328075,P,FINES,2010135,d,39.340198,74.333136,0.0,2010135
67,59083843,6328075,P,NOA,2010135,d,39.340198,74.333136,0.0,2010135
68,59085297,6328075,Pn,AAK,2010135,d,39.340198,74.333136,0.0,2010135
69,59086530,6328075,Pn,BVAR,2010135,d,39.340198,74.333136,0.0,2010135
70,59083623,6328338,P,ASAR,2010135,d,-1.3070408,146.26863,0.0,2010135
71,59083831,6328338,P,WRA,2010135,d,-1.3070408,146.26863,0.0,2010135
72,59083932,6328338,P,ILAR,2010135,d,-1.3070408,146.26863,0.0,2010135
73,59086552,6328338,Pn,JAY,2010135,d,-1.3070408,146.26863,0.0,2010135
74,59083855,6328162,P,YKA,2010135,d,18.021358,145.65206,166.45878,2010135
75,59083880,6328162,P,STKA,2010135,d,18.021358,145.65206,166.45878,2010135
76,59083922,6328162,P,NVAR,2010135,d,18.021358,145.65206,166.45878,2010135
77,59083933,6328162,P,ILAR,2010135,d,18.021358,145.65206,166.45878,2010135
78,59083961,6328162,P,WRA,2010135,d,18.021358,145.65206,166.45878,2010135
79,59083858,6327883,Pn,ASAR,2010135,d,-1.7183362,133.78213,0.0,2010135
80,59083958,6327883,Pn,WRA,2010135,d,-1.7183362,133.78213,0.0,2010135
81,59083875,6328199,P,MKAR,2010135,d,-1.7183362,133.78213,0.0,2010135
82,59086134,6328199,P,KURK,2010135,d,-1.7183362,133.78213,0.0,2010135
83,59084148,6328132,P,ASAR,2010135,d,-5.1642551,146.37774,164.56879,2010135
84,59084184,6328132,P,WRA,2010135,d,-5.1642551,146.37774,164.56879,2010135
85,59084240,6328132,P,VNDA,2010135,d,-5.1642551,146.37774,164.56879,2010135
86,59084249,6328132,P,MKAR,2010135,d,-5.1642551,146.37774,164.56879,2010135
87,59084272,6328132,P,ILAR,2010135,d,-5.1642551,146.37774,164.56879,2010135
88,59085992,6328132,P,JAY,2010135,d,-5.1642551,146.37774,164.56879,2010135
89,59084227,6328169,Pn,PLCA,2010135,d,-34.701431,-72.28175,0.0,2010135
90,59084423,6328169,P,LPAZ,2010135,d,-34.701431,-72.28175,0.0,2010135
91,59084561,6327947,P,ARCES,2010135,d,5.9590542,92.766807,0.0,2010135
92,59084594,6327947,P,GERES,2010135,d,5.9590542,92.766807,0.0,2010135
93,59084599,6327947,P,ZALV,2010135,d,5.9590542,92.766807,0.0,2010135
94,59084627,6327947,P,MKAR,2010135,d,5.9590542,92.766807,0.0,2010135
