ARID,PHASE,STA,ATIME,TIMEDEF,ORID,LAT,LON,DEPTH,OTIME
59082719,P,ASAR,1273918800.0,d,6327761,-18.2292,-155.829,0.0,1273894974.94891
59082777,P,WRA,1273918800.0,d,6327761,-18.2292,-155.829,0.0,1273894974.94891
59083855,P,YKA,1273923600.0,d,6328162,17.9359,146.11,74.9998,1273900017.07831
59083880,P,STKA,1273923600.0,d,6328162,17.9359,146.11,74.9998,1273900017.07831
59083922,P,NVAR,1273923600.0,d,6328162,17.9359,146.11,74.9998,1273900017.07831
59083933,P,ILAR,1273923600.0,d,6328162,17.9359,146.11,74.9998,1273900017.07831
59083961,P,WRA,1273923600.0,d,6328162,17.9359,146.11,74.9998,1273900017.07831
59084561,P,ARCES,1273926000.0,d,6327947,6.31514,93.1694,176.938,1273902911.93042
59084594,P,GERES,1273926000.0,d,6327947,6.31514,93.1694,176.938,1273902911.93042
59084599,P,ZALV,1273926000.0,d,6327947,6.31514,93.1694,176.938,1273902911.93042
59084627,P,MKAR,1273926000.0,d,6327947,6.31514,93.1694,176.938,1273902911.93042
59084645,P,FINES,1273926000.0,d,6327947,6.31514,93.1694,176.938,1273902911.93042
59084659,P,WRA,1273926000.0,d,6327947,6.31514,93.1694,176.938,1273902911.93042
59085537,P,ASAR,1273929600.0,d,6328032,-30.0402,-177.267,0.0,1273905888.58182
59085580,P,TXAR,1273929600.0,d,6328032,-30.0402,-177.267,0.0,1273905888.58182
59087697,Pn,MJAR,1273938000.0,d,6328260,32.1385,141.258,0.0,1273914141.23371
59087843,P,MKAR,1273938000.0,d,6328260,32.1385,141.258,0.0,1273914141.23371
59087873,P,WRA,1273938000.0,d,6328260,32.1385,141.258,0.0,1273914141.23371
59088219,P,MKAR,1273939200.0,d,6328312,-28.8811,62.1505,0.0,1273915251.47036
59088253,P,ASAR,1273939200.0,d,6328312,-28.8811,62.1505,0.0,1273915251.47036
59088263,P,TORD,1273939200.0,d,6328312,-28.8811,62.1505,0.0,1273915251.47036
59088265,P,ZALV,1273939200.0,d,6328312,-28.8811,62.1505,0.0,1273915251.47036
