ARID,PHASE,STA,ATIME,TIMEDEF,ORID,LAT,LON,DEPTH,OTIME
59087697,Pn,MJAR,1273914217.5875,d,6328260,32.045914,141.05526,0.0,1273914140.973659
59087843,P,MKAR,1273914651.275,d,6328260,32.045914,141.05526,0.0,1273914140.973659
59087873,P,WRA,1273914692.525,d,6328260,32.045914,141.05526,0.0,1273914140.973659
59088219,P,MKAR,1273915966.349999,d,6328312,-28.866282,61.947408,0.0,1273915250.231079
59088253,P,ASAR,1273915885.0,d,6328312,-28.866282,61.947408,0.0,1273915250.231079
59088263,P,TORD,1273915933.9,d,6328312,-28.866282,61.947408,0.0,1273915250.231079
59088265,P,ZALV,1273916006.75,d,6328312,-28.866282,61.947408,0.0,1273915250.231079
59088308,P,WRA,1273915896.624999,d,6328312,-28.866282,61.947408,0.0,1273915250.231079
59094809,P,ASAR,1273939155.9,d,6328973,5.6406771,125.05346,0.0,1273938781.30684
59094846,P,STKA,1273939241.95,d,6328973,5.6406771,125.05346,0.0,1273938781.30684
59094938,P,WRA,1273939124.525,d,6328973,5.6406771,125.05346,0.0,1273938781.30684
59095769,P,PLCA,1273942945.0,d,6329043,-21.595892,-68.055627,128.20942,1273942690.57045
59095796,P,TORD,1273943388.7,d,6329043,-21.595892,-68.055627,128.20942,1273942690.57045
59096053,P,YKA,1273943462.244999,d,6329043,-21.595892,-68.055627,128.20942,1273942690.57045
59099878,P,KSRS,1273957653.604399,d,6329468,28.748032,128.48043,73.4287,1273957532.76202
59100001,P,MKAR,1273957982.43354,d,6329468,28.748032,128.48043,73.4287,1273957532.76202
59100071,P,WRA,1273958049.8,d,6329468,28.748032,128.48043,73.4287,1273957532.76202
59101074,Pn,KSRS,1273961963.349999,d,6329550,28.614216,128.42334,0.0,1273961834.772339
59101195,P,FINES,1273962513.375,d,6329550,28.614216,128.42334,0.0,1273961834.772339
59101304,P,WRA,1273962360.349999,d,6329550,28.614216,128.42334,0.0,1273961834.772339
59088673,P,PLCA,1273917572.875,d,6328370,-16.917686,-70.137934,0.0,1273917258.70848
59088746,Pn,LPAZ,1273917296.6,d,6328370,-16.917686,-70.137934,0.0,1273917258.70848
59089006,P,TXAR,1273917842.224999,d,6328370,-16.917686,-70.137934,0.0,1273917258.70848
